depth,planktic_percent,paleo_depth
1,,
2,,
3,0.9803921568627453,37.405848111850915
4,1.1363636363636365,37.61259963387394
5,0.0,36.13203977096243
6,0.0,36.13203977096243
7,0.0,36.13203977096243
8,0.0,36.13203977096243
9,0.0,36.13203977096243
10,0.0,36.13203977096243
11,0.0,36.13203977096243
12,0.0,36.13203977096243
13,0.0,36.13203977096243
14,3.773584905660378,41.28662057938688
15,1.149425287356322,37.62996557044073
16,1.1764705882352942,37.66594876733223
17,6.329113924050632,45.188873095329335
18,3.3333333333333335,40.649234324062384
19,,
20,,
30,0.0,36.13203977096243
40,1.8181818181818183,38.52989931417051
47,2.272727272727273,39.15382746686298
54,0.8849557522123894,37.279901076376106
61,0.0,36.13203977096243
71,33.333333333333336,117.35223878979865
76,0.0,36.13203977096243
86,7.3170731707317085,46.794485550036384
96,5.0,43.11538957146913
106,0.0,36.13203977096243
122,95.60439560439559,1059.8040808744565
132,6.666666666666667,45.73116440717674
142,0.0,36.13203977096243
171,16.129032258064516,63.89109542808621
183,21.27659574468085,76.63814226542235
193,14.285714285714288,59.861714440845915
202,10.344827586206899,52.07922969022092
212,13.333333333333334,57.88046872783909
222,5.660377358490567,44.13343841555439
235,16.058394160583944,63.73179978029505
239,29.72972972972973,103.31976034137656
242,7.142857142857142,46.50726660356034
245,10.07751937984496,51.58957075375106
255,17.894736842105264,68.00491622573148
263,9.00900900900901,49.677811184835875
